"SMILES_STD","SAMPLE_NAME","SAMPLE_ID","GENE_SYMBOL"
"COC1=C(C=CC(=C1)C(=O)N2CCC(CC2)N3CCN(C)CC3)N=C4NC=C5N(C)C(=O)C6=C(C=CC=C6)N(C)C5=N4","LRRK2-IN-1","NCGC00346807-01","LRRK2"
"COC1=C(C=CC(=C1)C(=O)N2CCOCC2)N=C3NC=C(Cl)C(N3)=NC","Hg-10-102-01","NCGC00347944-01","LRRK2"
"CC#CCN1C(=NC2=C1C(=O)N(CC3=NC4=C(C=CC=C4)C(C)=N3)C(=O)N2C)N5CCC[C@@H](N)C5","Linagliptin","NCGC00346655-01","DPP4"
"CC(O)=C(C#N)C(=O)NC1=CC=C(C=C1)C(F)(F)F","Teriflunomide","NCGC00263218-02","MMP2"
"CC(C)N(CCCNC(=O)NC1=CC=C(C=C1)C(C)(C)C)C[C@@H]2O[C@H]([C@H](O)[C@@H]2O)N3C=C(Br)C4=C3NC=NC4=N","SGC0946","NCGC00344622-02",""
"CNC(=O)C1=C(F)C=C(C=C1)N2C(=S)N(C(=O)C2(C)C)C3=CC(=C(C=C3)C#N)C(F)(F)F","MDV-3100","NCGC00263120-01","AR"
"CCCCC(NC(=O)C(CC(C)C)NC(=O)OCC1=CC=CC=C1)C=O","Calpeptin","NCGC00024594-01","PSMD1"
"N[C@@H](C(=O)N1[C@H]2C[C@@H]2C[C@H]1C#N)C34CC5CC(CC(O)(C5)C3)C4","Saxagliptin","NCGC00242597-01","DPP4"
"N[C@H](CC(=O)N1CCN2C(C1)=NN=C2C(F)(F)F)CC3=C(F)C=C(F)C(F)=C3","Sitagliptin","NCGC00178734-03","DPP4"
"CN(C)C1=CC2=C(C=C1)C=C(C=C2)C(=O)N[C@H](CCCNC(=N)CCl)C(=O)NCC3=CC=CC=C3","YW3-56","NCGC00343773-01","PADI1"
"COC1=CC(=CC=C1)C2=CC(F)=C(NC(=O)C3=C(CCC3)C(O)=O)C=C2","Vidofludimus","NCGC00345056-01","DHODH"
"O=S(=O)(CC1CS1)C2=CC=C(OC3=CC=CC=C3)C=C2","SB-3CT","NCGC00346932-01","MMP2"
"CC(C)[C@H](CS(=O)(=O)C1=CC=C(C=C1)C2=CC=C(Br)C=C2)C(O)=O","PD-166793","NCGC00263127-01","MMP13"
"O=C(NCCCCN1CCOCC1)C2=CC3=C(O2)C=CC=C3","CL 82198","NCGC00167801-01","MMP13"
"CNC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](CC(C)C)[C@H](CSC2=CC=CS2)C(O)=NO","Batimastat","NCGC00346877-01","MMP1"
"ClC1=CC=C(NC(=N)NC(=N)NCCCCCCNC(=N)NC(=N)NC2=CC=C(Cl)C=C2)C=C1","Chlorhexidine","NCGC00016246-12","MMP1"
"CC(C)C[C@@H](CC(O)=O)C(=O)N[C@H](CC1=CNC2=C1C=CC=C2)C(=O)N[C@@H](C)C3=CC=CC=C3","GM-1489","NCGC00345816-01","MMP1"
"CNC(=O)[C@H](CC1=CN=C2C=CCC=C12)NC(=O)[C@H](CC(C)C)CC(O)=NO","GM-6001","NCGC00345817-01","MMP1"
"COC1=CC(C(C)C)=C2C(=O)N(COC3=CC(=O)N4C=CC=C(OCCN5CCCCC5)C4=N3)S(=O)(=O)C2=C1","SSR-69071","NCGC00167751-03","ELA2"
"CC(C)(C)C(=O)OC1=CC=C(C=C1)S(=O)(=O)NC2=C(C=CC=C2)C(=O)NCC(O)=O","Sivelestat","NCGC00346934-01","ELA2"
"OC[C@H]1O[C@@H](C[C@@H]1O)N2C=C(F)C(=N)NC2=O","NSC-48006","NCGC00346830-01","DNMT1"
"CC1=NN=C2[C@H](CC(=O)OC(C)(C)C)N=C(C3=C(SC(C)=C3C)N12)C4=CC=C(Cl)C=C4","JQ1","NCGC00250412-01","BRD4"
"COC1=CC2=C(C=C1C3=C(C)ON=C3C)N=CC4=C2N([C@H](C)C5=NC=CC=C5)C(=O)N4","I-BET151","NCGC00344588-01","BRD4"
"CN1C=NC=C1[C@@](N)(C2=CC=C(Cl)C=C2)C3=CC4=C(C=C3)N(C)C(=O)C=C4C5=CC(Cl)=CC=C5","Tipifarnib","NCGC00250406-01","COX10"
"NC(=O)N1CCC(CC(=O)N2CCC(CC2)[C@@H]3C4=C(CCC5=C3C(Br)=CC(Cl)=C5)C=C(Br)C=N4)CC1","Lonafarnib","NCGC00346707-01","COX10"
"CC1=C(C=C2C(=C1)C(C)(C)CCC2(C)C)C3(CC3)C4=NC=C(C=C4)C(O)=O","LG100268","NCGC00242489-01","RXRA"
"CC1=CC=C(C=C1)C2=NC3=C(OC2)C=C(Cl)C=C3","AR7","NCGC00347937-01","RARA"
"CCCCOCCOC1=C(C)SC(=N1)C2=CC(F)=C(C=C2)C(O)=O","AC-261066","NCGC00242477-01","RARB"
"CCN(C(=O)C1=C(O)C2=C(C=CC=C2Cl)N(C)C1=O)C3=CC=CC=C3","Laquinimod","NCGC00346701-01",""
"CCN1C[C@]2(CC[C@H](OC)[C@@]34[C@@H]5C[C@@H]6[C@H](OC)[C@]5(O)[C@](O)(C[C@@H]6OC)[C@@H](C[C@@H]23)[C@@H]14)OC(=O)C7=C(NC(C)=O)C=CC=C7","Lappaconitine","NCGC00346602-01",""
"COC1=C(O)C=C(C=C1)C2=CC(=O)C3=C(O2)C=C(O[C@H]4O[C@H](CO[C@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5O)[C@@H](O)[C@H](O)[C@H]4O)C=C3O","Diosmin","NCGC00344564-02","AHR"
"CC(C)N1C=NC2=C1NC(=NC2=NCCC3=CC=C(O)C=C3)C4=CSC5=C4C=CC=C5","StemRegenin 1","NCGC00263553-02","AHR"
"OC[C@@H]1OC(OC2=CC3=C(C(=O)C(=CO3)C4=CC=C(O)C=C4)C(O)=C2)[C@H](O)[C@@H](O)[C@@H]1O","Genistin","NCGC00346737-01",""
"C[C@@]12CC[C@@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@@H]2OC(=O)CCC5CCCC5","Testosterone cypionate","NCGC00346736-01","AR"
"CN1C(=C(O)N=C2NC=CC=C2)C(=O)C3=C(C=C(Cl)S3)S1(=O)=O","Lornoxicam","NCGC00346667-01",""
"CC(C)(OCC1=NN(CC2=CC=CC=C2)C3=C1C=CC=C3)C(O)=O","Bindarit","NCGC00346710-01",""
"C[C@]12CCC3C(CC=C4C[C@@H](O)CC[C@]34C)C1CC=C2N5C=NC6=C5C=CC=C6","Galeterone","NCGC00346711-01","AR"
"OC[C@@H]1O[C@@H](O[C@H]2OC=C([C@H]3CC=C(CO)[C@H]23)C(O)=O)[C@H](O)[C@@H](O)[C@@H]1O","Geniposidic acid","NCGC00346663-01",""
"OC(=O)COCCN1CCN(CC1)C(C2=CC=CC=C2)C3=CC=C(Cl)C=C3","Cetirizine hydrochloride","NCGC00167781-07","HRH1"
"COC1=C(O)C=CC(C[C@@H](CO)[C@H](CO)CC2=CC(OC)=C(O)C=C2)=C1","Secoisolariciresinol","NCGC00346838-01",""
"COC1=CC=C(C=C1)C2=C(O)C(=O)C3=C(O2)C(CC=C(C)C)=C(O)C=C3O","Icaritin","NCGC00345813-01",""
"[Co+].C[C@H](CNC(=O)CC[C@]1(C)[C@@H](CC(N)=O)[C@H]2NC1=C(C)C3=NC(=CC4=NC(=C(C)C5=N[C@]2(C)[C@@](C)(CC(N)=O)[C@@H]5CCC(N)=O)[C@@](C)(CC(N)=O)[C@@H]4CCC(N)=O)C(C)(C)[C@@H]3CCC(N)=O)OP([O-])(=O)O[C@@H]6[C@@H](CO)O[C@H]([C@@H]6O)N7C=NC8=C7C=C(C)C(C)=C8","Hydroxocobalamin","NCGC00346732-01",""
"CC(C)(CO)[C@@H](O)C(=O)NCCC(O)=O","Pantothenic acid","NCGC00346610-01",""
"OCC1OC(OC2=C(O)C=C3N(\C=C\C4=CC(=NC(C4)C(O)=O)C(O)=O)C(CC3=C2)C(O)=O)C(O)C(O)C1O","Betanin","NCGC00346734-01",""
"C[C@@]12CC[C@@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@@H]2O","Testosterone","NCGC00346733-01","AR"
"OC(=O)[C@H]1CCC[C@H]1C(=O)C2=CC=C(C=C2)C3=CC=C(NC(=O)NC4=CC=CC=C4)C=C3","A-922500","NCGC00346522-01","DGAT1"
"CC(C)C(C)\C=C\[C@H](C)[C@H]1CC[C@@H]2\C(CCC[C@@]12C)=C/C=C3\CC(=C)[C@@H](O)C[C@@H]3O","1-alpha-Hydroxyergocalciferol","NCGC00182058-03","VDR"
"CCC(O)(CC)\C=C\C=C\[C@@H](C)[C@H]1CC[C@@H]2\C(CCCC12C)=C\C=C3/C[C@@H](O)C[C@H](O)C3=C","Seocalcitol","NCGC00242511-02","VDR"
"CC\C=C/C[C@H]1[C@@H](CC(=O)OC)CCC1=O","methyl jasmonate","NCGC00242512-01",""
"CC(O)(CS(=O)(=O)C1=CC=C(F)C=C1)C(=O)NC2=CC(=C(C=C2)C#N)C(F)(F)F","Bicalutamide","NCGC00167977-03","AR"
"CC(=O)NC1=CC=C(OC[C@](C)(O)C(=O)NC2=CC(=C(C=C2)[N+]([O-])=O)C(F)(F)F)C=C1","Andarine","NCGC00263150-01","AR"
"CC(O)(COC1=CC=C(C=C1)C#N)C(=O)NC2=CC(=C(C=C2)C#N)C(F)(F)F","Ostarine","NCGC00346499-01","AR"
"CCC(=O)O[C@]1(CC[C@@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C)C(=O)CO","17 alpha-propionate","NCGC00346468-01","AR"
"CNC(=O)C1=C(F)C=C(C=C1)N2C(=S)N(C(=O)C23CCC3)C4=CC(=C(C=C4)C#N)C(F)(F)F","RD-162","NCGC00263137-01","AR"
"CNC(=O)C1=C(F)C=C(C=C1)N2C(=S)N(C(=O)C23CCC3)C4=CC(=C(N=C4)C#N)C(F)(F)F","ARN-509","NCGC00346725-01","AR"
"C[C@@]12CC[C@@H]3[C@@H](CC[C@H]4NC(=O)C=C[C@]34C)[C@@H]1CC[C@@H]2C(=O)NC5=C(C=CC(=C5)C(F)(F)F)C(F)(F)F","Dutasteride","NCGC00263522-02","SRD5A1"
"FC(F)(F)C1=CN=C(C=C1)S(=O)(=O)CCNC(=O)C2=CC=C(Cl)C=C2","GSK-3787","NCGC00263111-01","PPARD"
"COC1=C(C=C(CC2SC(=O)NC2=O)C=C1)C(=O)NCC3=CC=C(C=C3)C(F)(F)F","MK-767","NCGC00263123-01","PPARA"
"C[C@@H](NC(=O)C1=CC2=C(C=C1)N(CC3=CC=C(C=C3)C4=C(C=CC=C4)C(O)=O)C(C)=C2C)C5=CC=C(C=C5)[N+]([O-])=O","SR1664","NCGC00347955-01","PPARG"
"CCCCC1=NC(=CN1)C(CC2=CC=C(C=C2)C(O)=O)=C(CC3=CC=CS3)C(O)=O","Eprosartan mesylate","NCGC00345785-01","AGT"
"COC1=C[C@H]2[C@@H]3CC4=C(C(O)=C(OC)C=C4)[C@]2(CCN3C)CC1=O","Sinomenine","NCGC00161641-04",""
"O[C@@H]([C@H]1CC2CCN1C[C@@H]2C=C)C3=C4C=CC=CC4=NC=C3","Cinchonine dihydrochloride","NCGC00346735-01",""
"CN1C2N(CCC3=C2NC4=C3C=CC=C4)C(=O)C5=C1C=CC=C5","Evodiamine","NCGC00163553-02",""
"CCOC(=O)C(C)OC1=C2C=CN(CC(=O)NC3=CC4=C(OCCO4)C=C3)C(=O)C2=CC=C1","SID 7969543","NCGC00081778-04","NR5A1"
"C[C@H]1[C@H]2[C@@H](O)[C@@H]3[C@H](N(C)C)C(=O)C(=C(N)O)C(=O)[C@@]3(O)C(=O)C2=C(O)C4=C1C=CC=C4O","Doxycycline","NCGC00161602-05","MMP1"
"CC1=C(O)C(C)=C2CCC(C)(COC3=CC=C(CC4SC(=O)NC4=O)C=C3)OC2=C1C","Troglitazone","NCGC00161599-11","CCL2"
"N=C1NC2=C(N=CN2)C(OCC3=CC=CC=C3)=N1","O6-Benzylguanine","NCGC00015144-04","MGMT"
"CC1=CC=C(C=C1)C(=O)C2=CC(C(=O)C(O)=C2)=[N+](O)[O-]","Tolcapone","NCGC00181767-01","COMT"
"OC(=O)[C@H](CC1=CNC2=C1C=CC=C2)N3C(=O)C4=C(C=CC=C4)C3=O","RG-108","NCGC00014891-03","DNMT1"
"OC[C@H]1O[C@@H]([C@H](O)[C@@H]1O)N2C=NC(=N)NC2=O","5-Azacitidine","NCGC00090851-09","DNMT1"
"OC[C@H]1O[C@H](C[C@@H]1O)N2C=NC(=N)NC2=O","Decitabine","NCGC00166088-05","DNMT1"
"COC1=CC2=C(C=C1OC)C(=NC3CCN(CC4=CC=CC=C4)CC3)N=C(N2)N5CCCN(C)CC5","BIX-01294","NCGC00185850-02","EHMT2"
"COC1=C(OCCCN2CCCC2)C=C3NC(=NC(=NC4CCN(CC4)C(C)C)C3=C1)C5CCCCC5","UNC-0638","NCGC00189220-05","EHMT2"
"CC[C@H](C)N1C=C(C)C2=C1C=C(C=C2C(=O)NCC3=C(C)C=C(C)NC3=O)C4=CN=C(C=C4)N5CCNCC5","GSK126","NCGC00347286-01",""
"CCNC(=O)C[C@@H]1N=C(C2=CC=C(Cl)C=C2)C3=C(C=CC(OC)=C3)N4C(C)=NN=C14","I-BET762","NCGC00263621-02","BRD4"
"CCNC(=O)C[C@H]1N=C(C2=CC=C(Cl)C=C2)C3=C(C=CC(OC)=C3)N4C(C)=NN=C14","GSK525768","NCGC00345173-01",""
"CC(=O)NC1=C(C2=NC3=C(S2)C=CC=C3)C4=C(CNC4)S1","NCGC00185090-04","NCGC00185090-03","APE1"
"FC1=C(C=C(NC(=O)N=C2NN=C(S2)C3=CC=NC=C3)C=C1)C(F)(F)F","NCGC00189393-02","NCGC00189393-03","BLM"
"O=C(NC1=CC(C#N)=C(C=C1)C2=CNN=C2)N=C3NN=C(S3)C4=CC=NC=C4","NCGC00247866-02","NCGC00247866-04","BLM"
"OC(=O)C1=C2C=C(C=NC2=C(O)C=C1)N3CCOCC3","NCGC00241036-01","NCGC00241036-02","JARID2"
"CN(C)CCCNC(=O)C1=CC=C(C=C1)C2=CC3=C(N=CC=C3)C(O)=C2","NCGC00183808-01","NCGC00183808-06","JARID2"
"OC(=O)C1=CC2=C(C=C1)C=C(C=C2)C3=CC(=C(O)C=C3)C45CC6CC(CC(C6)C4)C5","AHPN","NCGC00092284-03","RARG"
"CC(\C=C\C1=C(C)CCCC1(C)C)=C/C=C/C(C)=C/C(=O)NC2=CC=C(O)C=C2","Fenretinide","NCGC00090752-08","RARB"
"CC(\C=C\C1=C(C)CCCC1(C)C)=C/C=C/C(C)=C\C(O)=O","Isotretinoin","NCGC00094358-17","RARB"
"CCOC(=O)C1=CN=C(C=C1)C#CC2=CC3=C(SCCC3(C)C)C=C2","Tazarotene","NCGC00167525-03","RARB"
"CC1(C)CCC(C)(C)C2=C1C=CC(NC(=O)C3=CC=C(C=C3)C(O)=O)=C2","Tamibarotene","NCGC00181111-01","RARB"
"CC1=C(C=C2C(=C1)C(C)(C)CCC2(C)C)C(=C)C3=CC=C(C=C3)C(O)=O","Bexarotene","NCGC00181016-03","RXRA"
"CN(C1CCN(CC1)C2=NC3=C(C=CC=C3)N2CC4=CC=C(F)C=C4)C5=NC(=O)C=CN5","Mizolastine","NCGC00181013-01","HRH1"
"CC(\C=C\C1=C(C)CCCC1(C)C)=C/C=C/C(C)=C/C(O)=O","Tretinoin","NCGC00017280-22","RORB"
"C[C@]12C[C@H](O)[C@@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@@]2(O)C(=O)CO","Hydrocortisone","NCGC00022848-06","PTGS2"
"CCC1NC(=O)C(C(O)C(C)C\C=C\C)N(C)C(=O)C(C(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(C)NC(=O)C(C)NC(=O)C(CC(C)C)N(C)C(=O)C(NC(=O)C(CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C","Cyclosporine A","NCGC00093704-11",""
"CN1C=NC(=C1SC2=NC=NC3=C2N=CN3)[N+]([O-])=O","Azathioprine","NCGC00015060-19",""
"CC(=O)OC1=C(C=CC=C1)C(O)=O","Aspirin","NCGC00015067-13",""
"OC1=CC2=C(C(=O)C=C(O2)C3=CC=CC=C3)C(O)=C1","5,7-Dihydroxyflavone","NCGC00016456-12",""
"OC1=CC=C(C=C1)C2=C(O)C(=O)C3=C(O2)C=C(O)C=C3O","Kaempferol","NCGC00016480-09",""
"OC[C@@H]1O[C@@H](OC2=C(CO)C=CC=C2)[C@H](O)[C@@H](O)[C@@H]1O","Salicin","NCGC00142605-03",""
"COC1=C(O)C=C(C=C1)C2=CC(=O)C3=C(O2)C=C(O)C=C3O","Hesperetin","NCGC00163540-03",""
"CC(C(O)=O)C1=CC(=CC=C1)C(=O)C2=CC=CC=C2","Ketoprofen","NCGC00015578-10",""
"COC1=CC2=C(C=C1)N(C(=O)C3=CC=C(Cl)C=C3)C(C)=C2CC(O)=O","Indomethacin","NCGC00015562-24",""
"CN1CCC(CC1)=C2C3=C(SC=C3)C(=O)CC4=C2C=CC=C4","Ketotifen","NCGC00015580-08","HRH1"
"OC(=O)C1CCN2C1=CC=C2C(=O)C3=CC=CC=C3","Ketorolac","NCGC00185990-05",""
"CC(C(O)=O)C1=CC(F)=C(C=C1)C2=CC=CC=C2","Flurbiprofen","NCGC00018157-11",""
"C\C=C(C1=CC=C(O)C=C1)\C(=C\C)C2=CC=C(O)C=C2","Dienestrol","NCGC00018153-09","ESR1"
"CC1=C(CC(O)=O)C2=C(C=CC(F)=C2)\C1=C/C3=CC=C(C=C3)S(C)=O","Sulindac","NCGC00015970-10",""
"CN1C(=C(O)N=C2NC=CC=C2)C(=O)C3=C(C=CS3)S1(=O)=O","Tenoxicam","NCGC00016889-05",""
"CCCCOC1=CC=C(CC(O)=NO)C=C1","Bufexamac","NCGC00016611-09",""
"NCCC1=CNC=N1","Histamine dihydrochloride","NCGC00015513-09","HRH1"
"CCOC(=O)N1CCC(CC1)=C2C3=C(CCC4=C2N=CC=C4)C=C(Cl)C=C3","Loratadine","NCGC00015619-09","HRH1"
"CN(C)CC[C@H](C1=CC=C(Cl)C=C1)C2=NC=CC=C2","Chlorphenamine maleate","NCGC00016364-03","HRH1"
"CN(C)CCN(CC1=CC=C(Cl)C=C1)C2=NC=CC=C2","Chloropyramine hydrochloride","NCGC00016672-04","HRH1"
"CN1CCC[C@@H]1CCO[C@](C)(C2=CC=CC=C2)C3=CC=C(Cl)C=C3","Clemastine fumarate","NCGC00016710-04","HRH1"
"CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2","Diphenhydramine hydrochloride","NCGC00015335-11","HRH1"
"CN1CCC(CC1)=C2C3=C(C=CC=C3)C=CC4=C2C=CC=C4","Cyproheptadine hydrochloride","NCGC00015252-13","HRH1"
"CN1CCCC(CC1)N2N=C(CC3=CC=C(Cl)C=C3)C4=C(C=CC=C4)C2=O","Azelastine hydrochloride","NCGC00177979-03","HRH1"
"O=C(CS(=O)CC1=CC=CO1)NC\C=C\COC2=NC=CC(CN3CCCCC3)=C2","Lafutidine","NCGC00164550-01","HRH2"
"NC(=N)N=C1NC(CSCCC(=N)NS(N)(=O)=O)=CS1","Famotidine","NCGC00018276-03","HRH2"
"OC1=CC2=C(C(O)=C1)C(=O)C(O)=C(O2)C3=CC(O)=C(O)C=C3","Quercetine","NCGC00015870-16",""
"OC1C(OC2=C(C1=O)C(O)=CC(O)=C2)C3=CC(O)=C(O)C=C3","Taxifolin","NCGC00016024-06",""
"COC1=CC=C(C=C1)C2=COC3=C(C2=O)C(O)=CC(O)=C3","Biochanin A","NCGC00017369-10",""
"OC(=O)C=CC1=CC(O)=C(O)C=C1","Caffeic acid","NCGC00017364-14",""
"C[Se]CCC(N)C(O)=O","Selenomethionine","NCGC00159438-02",""
"[Co+].C#N.C[C@@H](CNC(=O)CC[C@]1(C)[C@@H](CC(N)=O)[C@H]2NC1=C(C)C3=NC(=CC4=NC(=C(C)C5=N[C@]2(C)[C@@](C)(CC(N)=O)[C@@H]5CCC(N)=O)[C@@](C)(CC(N)=O)[C@@H]4CCC(N)=O)C(C)(C)[C@@H]3CCC(N)=O)OP([O-])(=O)O[C@H]6[C@@H](CO)O[C@@H]([C@@H]6O)N7C=NC8=C7C=C(C)C(C)=C8","Vitamin B12","NCGC00262545-02",""
"OC(=O)C1=CN=CC=C1","Niacin","NCGC00016268-09",""
"NC(=O)C1=CN=CC=C1","Niacinamide","NCGC00093354-09",""
"CC1=CC2=C(C=C1C)N(C[C@@H](O)[C@@H](O)[C@@H](O)CO)C3=NC(=O)NC(=O)C3=N2","RIBOFLAVIN","NCGC00016332-03",""
"CC1=[N+]([O-])C=C(N=C1)C(O)=O","Acipimox","NCGC00160519-02",""
"CCC(C)(OC1=CC=C(C=C1)C2(CCCCC2)C3=CC=C(OC(C)(CC)C(O)=O)C=C3)C(O)=O","Clinofibrate","NCGC00167453-02",""
